length,gamut,iteration,times
4,8,1,0.02189442099999983
4,8,2,0.02368244400000008
4,12,1,0.02722305799999991
4,12,2,0.027554702999999847
4,16,1,0.028548180999999895
4,16,2,0.029570581999999845
4,16,3,0.026830452999999865
4,20,1,0.03057004299999977
4,20,2,0.0320584639999999
4,20,3,0.036385194000000176
4,24,1,0.0337865690000001
4,24,2,0.03355904100000018
4,24,3,0.03364529400000027
4,28,1,0.03625229900000004
4,28,2,0.036409946000000026
4,28,3,0.04808601899999987
4,32,1,0.04362078200000008
4,32,2,0.038724026000000134
4,32,3,0.03901479299999977
8,8,1,0.10068681600000007
8,8,2,0.10026909999999978
8,8,3,0.10448451300000006
8,8,4,0.09823863200000016
8,8,5,0.09745126000000015
8,12,1,0.11372826500000022
8,12,2,0.10299737400000009
8,12,3,0.11258953000000016
8,12,4,0.1143229830000001
8,12,5,0.11421134099999986
8,16,1,0.14322521399999966
8,16,2,0.13200014499999924
8,16,3,0.12897037600000072
8,16,4,0.11417642800000039
8,16,5,0.10719614500000052
8,20,1,0.14327269000000076
8,20,2,0.11888154899999925
8,20,3,0.13926852399999934
8,20,4,0.1264527339999999
8,20,5,0.13958011300000006
8,24,1,0.14197030899999952
8,24,2,0.1344399169999999
8,24,3,0.1629259110000003
8,24,4,0.13346814500000015
8,24,5,0.19748230700000047
8,28,1,0.19022297500000018
8,28,2,0.1919508419999998
8,28,3,0.16174349799999987
8,28,4,0.15739198700000046
8,28,5,0.16781929299999998
8,32,1,0.1831050689999998
8,32,2,0.15527669999999993
8,32,3,0.16215384000000022
8,32,4,0.1786202819999998
8,32,5,0.180612526
12,8,1,0.25211944399999986
12,8,2,0.2578297159999998
12,8,3,0.2880112490000002
12,8,4,0.30331308799999945
12,8,5,0.3042478719999995
12,12,1,0.32205124400000074
12,12,2,0.29595614199999964
12,12,3,0.30918926000000013
12,12,4,0.260811318
12,12,5,0.310753386
12,16,1,0.42779610500000054
12,16,2,0.39521299799999987
12,16,3,0.3509429820000012
12,16,4,0.31451268
12,16,5,0.35910681999999916
12,20,1,0.3466378619999997
12,20,2,0.383464695999999
12,20,3,0.3676923799999994
12,20,4,0.32845464199999874
12,20,5,0.34454372799999966
12,24,1,0.3260279130000008
12,24,2,0.4153731750000009
12,24,3,0.4023975100000001
12,24,4,0.4073931520000009
12,24,5,0.4344050320000008
12,28,1,0.40270849299999867
12,28,2,0.4151966900000019
12,28,3,0.4505336960000008
12,28,4,0.43903940200000235
12,28,5,0.435887987000001
12,32,1,0.43864285200000097
12,32,2,0.41741945800000124
12,32,3,0.4745314969999974
12,32,4,0.3966219930000001
12,32,5,0.43467136199999956
16,8,1,0.5193539969999996
16,8,2,0.48268649799999963
16,8,3,0.47536330999999876
16,8,4,0.4756367059999995
16,8,5,0.5082851150000032
16,12,1,0.5334728449999986
16,12,2,0.534170103000001
16,12,3,0.548236241999998
16,12,4,0.5356408579999972
16,12,5,0.5963850229999998
16,16,1,0.6361467390000008
16,16,2,0.6814829080000031
16,16,3,0.6421942369999982
16,16,4,0.8067054309999975
16,16,5,0.7352541539999997
16,20,1,0.663849827
16,20,2,0.7804338659999992
16,20,3,0.7742617720000027
16,20,4,0.7187622269999991
16,20,5,0.6487171609999933
16,24,1,0.7276886570000016
16,24,2,0.9874201049999982
16,24,3,0.6325197179999975
16,24,4,0.8065309759999977
16,24,5,0.8065541839999995
16,28,1,0.703381966000002
16,28,2,0.7023070320000002
16,28,3,0.9118290950000016
16,28,4,0.8586948989999996
16,28,5,0.8459953979999995
16,32,1,0.9001447370000051
16,32,2,0.893197298000004
16,32,3,0.8940742719999974
16,32,4,0.7921116179999999
16,32,5,0.7806595119999997
20,8,1,0.8742582109999972
20,8,2,0.9204246130000016
20,8,3,0.8313890040000018
20,8,4,0.8555461560000026
20,8,5,0.9886502319999977
20,12,1,0.86475875
20,12,2,0.8584020429999981
20,12,3,0.857097005
20,12,4,0.8615394950000024
20,12,5,0.8551351519999955
20,16,1,1.1881170670000003
20,16,2,1.2275687390000058
20,16,3,1.3110823820000022
20,16,4,1.281409465000003
20,16,5,1.272310093999998
20,20,1,1.4090280710000087
20,20,2,1.307442996000006
20,20,3,1.4461317260000044
20,20,4,1.2916289759999984
20,20,5,1.1753142680000082
20,24,1,1.5298092480000065
20,24,2,1.199643332000008
20,24,3,1.4795541780000008
