length,gamut,iteration,times
4,16,1,0.06942238400000011
4,16,2,0.06389117
4,16,3,0.07766205699999995
4,16,4,0.07312525299999995
4,16,5,0.06387752700000005
4,20,1,0.07350186599999975
4,20,2,0.08144066799999994
4,20,3,0.08066216699999984
4,20,4,0.0733254790000002
4,20,5,0.12439212100000008
4,24,1,0.1596142490000001
4,24,2,0.11573201899999974
4,24,3,0.08741615100000022
4,24,4,0.07100260200000008
4,24,5,0.10590465500000024
4,28,1,0.07505331199999965
4,28,2,0.06982692099999976
4,28,3,0.08300920099999987
4,28,4,0.10155858900000014
4,28,5,0.09206732800000017
4,32,1,0.0765210999999999
4,32,2,0.07706970999999996
4,32,3,0.11475102200000009
4,32,4,0.08430208500000003
4,32,5,0.11510695299999973
8,16,1,0.15934047000000007
8,16,2,0.1437323450000001
8,16,3,0.14521399100000032
8,16,4,0.15357176100000025
8,16,5,0.16834180000000032
8,20,1,0.17660624999999985
8,20,2,0.17826932899999992
8,20,3,0.16947337300000065
8,20,4,0.1670648520000002
8,20,5,0.16827304800000054
8,24,1,0.17619566500000072
8,24,2,0.17495593399999976
8,24,3,0.18527026000000024
8,24,4,0.180804686000001
8,24,5,0.21254172699999963
8,28,1,0.19552844500000077
8,28,2,0.17912159599999988
8,28,3,0.16447788700000032
8,28,4,0.19073288299999902
8,28,5,0.1915881430000006
8,32,1,0.20446446200000068
8,32,2,0.184320928
8,32,3,0.20655293799999974
8,32,4,0.20606740500000065
8,32,5,0.27408022300000034
12,16,1,0.27988473999999997
12,16,2,0.3101344649999991
12,16,3,0.3561944400000012
12,16,4,0.3153460480000003
12,16,5,0.277667267
12,20,1,0.2874851449999998
12,20,2,0.3008597420000001
12,20,3,0.36929963500000085
12,20,4,0.3055237349999995
12,20,5,0.33114025800000135
12,24,1,0.3490426219999989
12,24,2,0.3161862640000024
12,24,3,0.3579726590000014
12,24,4,0.3429367059999997
12,24,5,0.3220357999999983
12,28,1,0.33205561800000183
12,28,2,0.38457872999999765
