,length,gamut,mutations,time
0,4,4,2,0.02092534200000007
1,4,4,2,0.02318403999999996
2,4,4,3,0.021066428999999998
3,4,4,5,0.032867669000000044
4,4,4,3,0.02237635300000007
5,4,4,5,0.02071770500000003
6,4,4,5,0.03457975000000002
7,4,4,3,0.03167121099999992
8,4,4,2,0.024107812999999867
9,4,8,1,0.025135128000000062
10,4,8,4,0.029687543999999955
11,4,8,2,0.025020285999999947
12,4,8,3,0.028786997999999953
13,4,8,4,0.030217421999999994
14,4,8,2,0.026975659000000096
15,4,8,4,0.03202419199999995
16,4,8,3,0.023472721000000085
17,4,8,0,0.027671033000000067
18,4,12,4,0.03419492499999999
19,4,12,5,0.032773280999999876
20,4,12,3,0.03358452300000003
21,4,12,2,0.02647520400000003
22,4,12,3,0.028549324000000098
23,4,12,1,0.026609686999999882
24,4,12,4,0.026879687999999735
25,4,12,3,0.03453761500000008
26,4,12,0,0.028232300999999627
27,4,16,1,0.026699038999999924
28,4,16,4,0.03366358199999997
29,4,16,6,0.039559113000000146
30,4,16,3,0.02970535899999982
31,4,16,3,0.030936204000000078
32,4,16,2,0.03453024200000021
33,4,16,5,0.033495421000000025
34,4,16,0,0.030367481999999946
35,4,20,2,0.030338152999999757
36,4,20,4,0.024647385000000188
37,4,20,2,0.024934818000000192
38,4,20,3,0.03480491600000013
39,4,20,1,0.026349499999999804
40,4,20,4,0.02957668800000013
41,4,20,4,0.029991988999999997
42,4,20,0,0.030644671000000123
43,8,4,3,0.03897395600000042
44,8,4,5,0.0658570420000002
45,8,4,3,0.03852117800000032
46,8,4,6,0.04105282199999971
47,8,4,3,0.043167519000000265
48,8,8,3,0.04146416900000016
49,8,8,4,0.04667227000000018
50,8,8,6,0.05722304900000008
51,8,8,4,0.047062842999999965
52,8,8,3,0.04589646199999997
53,8,8,3,0.04586132499999973
54,8,8,3,0.05099477699999966
55,8,8,4,0.055438322999999734
56,8,8,0,0.04081853000000013
57,8,12,4,0.03554610500000077
58,8,12,4,0.07208713699999958
59,8,12,7,0.10628153499999993
60,8,12,5,0.04107455900000012
61,8,12,2,0.041145755000000506
62,8,12,3,0.048864270000000154
63,8,12,3,0.052516165000000115
64,8,12,0,0.04363296899999991
65,8,16,6,0.06142067800000017
66,8,16,3,0.053282516000000335
67,8,16,4,0.0549956250000001
68,8,16,5,0.07240031899999977
69,8,16,2,0.05571576700000058
70,8,16,1,0.054639048999999495
71,8,16,3,0.05474898699999997
72,8,16,4,0.042424503000000335
73,8,16,0,0.046511943999999694
74,8,20,1,0.05434193799999942
75,8,20,1,0.054034828999999895
76,8,20,2,0.04265130300000042
77,8,20,2,0.054376348000000796
78,8,20,4,0.051300358000000656
79,8,20,5,0.05480717399999957
80,8,20,6,0.054890346000000534
81,8,20,6,0.059730492999999996
82,8,20,0,0.04180050200000007
83,12,4,1,0.07376779400000011
84,12,4,4,0.07877781400000039
85,12,4,5,0.06781282300000058
86,12,4,4,0.0577446419999994
87,12,4,1,0.0563980440000007
88,12,4,3,0.06203224999999968
89,12,8,2,0.08043865500000003
90,12,8,4,0.06728954899999984
91,12,8,4,0.07953775000000007
92,12,8,2,0.06743240700000008
93,12,8,1,0.07816991299999998
94,12,8,2,0.06939997199999937
95,12,8,2,0.07704262800000095
96,12,8,0,0.07493279499999872
97,12,12,3,0.08728909099999882
98,12,12,4,0.08436881599999957
99,12,12,3,0.08874486100000034
100,12,12,4,0.06720227399999956
101,12,12,5,0.06731279799999967
102,12,12,4,0.07794863200000002
103,12,12,4,0.06807453899999949
104,12,12,0,0.06711933799999947
105,12,16,2,0.08019173000000102
106,12,16,2,0.08032002200000044
107,12,16,5,0.0836880089999994
108,12,16,5,0.08275172399999953
109,12,16,4,0.06882153600000152
110,12,16,5,0.08545663499999989
111,12,16,3,0.05092784400000028
112,12,16,4,0.07901801600000091
113,12,16,0,0.06679135399999936
114,12,20,3,0.07869035299999894
115,12,20,6,0.09423091700000086
116,12,20,1,0.0915154729999994
117,12,20,1,0.06689150199999894
118,12,20,3,0.07720893000000117
119,12,20,3,0.07890455900000148
120,12,20,3,0.10325808500000022
121,12,20,0,0.0807508600000002
122,16,4,5,0.06293134100000053
123,16,4,4,0.10380672700000027
124,16,4,6,0.0871141729999998
125,16,4,3,0.10231856500000092
126,16,8,4,0.07945769400000025
127,16,8,4,0.09702349000000154
128,16,8,3,0.0867776720000002
129,16,8,5,0.13623706099999922
130,16,8,0,0.08834499000000129
131,16,12,3,0.08865849799999914
132,16,12,3,0.09341891100000055
133,16,12,2,0.07858954399999973
134,16,12,5,0.10324905300000076
135,16,12,5,0.10987638799999999
136,16,12,2,0.08225718999999998
137,16,12,4,0.08815899000000016
138,16,12,5,0.06299534500000092
139,16,12,0,0.08756502600000005
140,16,16,2,0.10322428299999942
141,16,16,3,0.10854725800000153
142,16,16,5,0.11827139100000039
143,16,16,6,0.14401319000000257
144,16,16,4,0.11382635000000008
145,16,16,1,0.09478084099999862
146,16,16,5,0.11368924699999994
147,16,16,4,0.08693574499999812
148,16,16,6,0.11109995400000017
149,16,16,0,0.0792433800000012
150,16,20,4,0.10446733899999927
151,16,20,2,0.10195634799999809
152,16,20,3,0.09436017199999824
153,16,20,1,0.08913614599999775
154,16,20,3,0.10308628800000008
155,16,20,5,0.07923890700000058
156,16,20,2,0.10313434600000093
157,16,20,3,0.08843984700000007
158,16,20,0,0.1076507840000005
159,20,4,3,0.1427018029999978
160,20,4,3,0.11259489299999714
161,20,4,4,0.19470646499999944
162,20,4,5,0.15463009499999814
163,20,8,4,0.11795647399999964
164,20,8,2,0.10398651099999867
165,20,8,3,0.12655392399999954
166,20,8,4,0.12674309499999836
167,20,8,6,0.14808186799999845
168,20,8,0,0.11920910799999973
169,20,12,3,0.11636230799999936
170,20,12,6,0.14647104600000205
171,20,12,4,0.10958548600000029
172,20,12,3,0.10979835499999879
173,20,12,2,0.10766297800000046
174,20,12,4,0.12246069400000081
175,20,12,3,0.10877707899999933
176,20,12,6,0.20784217199999944
177,20,12,0,0.12243312800000083
178,20,16,1,0.15759590100000054
179,20,16,4,0.1479025820000004
180,20,16,3,0.13092787499999758
181,20,16,5,0.15284522500000008
182,20,16,4,0.1494831170000026
183,20,16,3,0.14910463600000057
184,20,16,6,0.12136355399999843
185,20,16,7,0.17886149199999934
186,20,16,0,0.13135206900000185
187,20,20,4,0.15170384500000011
188,20,20,6,0.3011018859999979
189,20,20,3,0.14821790399999912
190,20,20,6,0.1296356280000026
191,20,20,5,0.2097354440000032
192,20,20,2,0.15241628900000137
193,20,20,3,0.1303520479999989
194,20,20,3,0.16593708199999924
195,20,20,0,0.13908308799999958
