,length,gamut,mutations,time
0,4,8,6,0.03931521399999838
1,4,8,5,0.0452957139999981
2,4,8,5,0.046457150999998476
3,4,8,3,0.04326142000000033
4,4,8,3,0.044100595999999825
5,4,8,5,0.03961156700000146
6,4,8,4,0.03969996800000075
7,4,8,4,0.04147507500000103
8,4,8,3,0.041824984999998094
9,4,12,4,0.037639447000000104
10,4,12,2,0.03890099800000257
11,4,12,3,0.042444115000002114
12,4,12,7,0.058173067999995
13,4,12,3,0.05789782000000088
14,4,12,4,0.058661256000000606
15,4,12,6,0.051089308999998195
16,4,12,5,0.05745133199999941
17,4,12,5,0.056293421999995985
18,4,12,5,0.055158757000000946
19,4,16,2,0.04007710600000536
20,4,16,6,0.03483677999999912
21,4,16,2,0.04747118899999947
22,4,16,3,0.0484577440000038
23,4,16,2,0.0481532900000019
24,4,16,3,0.05142700300000058
25,4,16,5,0.04754831599999676
26,4,16,3,0.048975681000001714
27,4,16,5,0.04638189799999992
28,4,16,0,0.045472955999997566
29,4,20,4,0.03507707800000048
30,4,20,4,0.0343827039999951
31,4,20,3,0.04171783799999673
32,4,20,3,0.04256106399999737
33,4,20,1,0.03774638099999805
34,4,20,4,0.049684217999995894
35,4,20,4,0.04472204800000412
36,4,20,2,0.04533691299999987
37,4,20,3,0.04489120999999585
38,4,20,0,0.043610731999997654
39,8,8,4,0.07386072699999602
40,8,8,6,0.06861078699999723
41,8,8,3,0.0793645199999986
42,8,8,2,0.07496869999999944
43,8,8,3,0.08167554799999976
44,8,8,3,0.08797381699999818
45,8,8,5,0.07478143499999845
46,8,12,3,0.07763483699999796
47,8,12,3,0.08373283000000242
48,8,12,5,0.0841073570000006
49,8,12,6,0.06271011700000173
50,8,12,4,0.08441793299999745
51,8,12,4,0.09613117599999299
52,8,12,6,0.08277000000000356
53,8,12,5,0.07470747100000352
54,8,16,4,0.05442131699999919
55,8,16,5,0.07438788700000032
56,8,16,5,0.08499497500000075
57,8,16,5,0.08154102900000026
58,8,16,5,0.06216597899999954
59,8,16,4,0.07007266100000464
60,8,16,3,0.0759358630000051
61,8,16,3,0.10414472500000471
62,8,16,3,0.08446850699999686
63,8,16,5,0.08441149000000081
64,8,16,0,0.07617992600000179
65,8,20,2,0.07991046099999721
66,8,20,5,0.09140827499999915
67,8,20,4,0.07712054999999651
68,8,20,3,0.07561845099999687
69,8,20,6,0.09352685799999705
70,8,20,5,0.0898325249999985
71,8,20,6,0.08164864199999755
72,8,20,4,0.08158071399999756
73,8,20,3,0.08558803600000431
74,8,20,7,0.08405540799999756
75,8,20,0,0.09023757199999949
76,12,8,3,0.1287403019999971
77,12,8,3,0.12771282700000341
78,12,8,3,0.12566859700000066
79,12,8,3,0.09985743899999733
80,12,8,4,0.0980041779999965
81,12,8,5,0.11491416000000498
82,12,8,3,0.09651665200000537
83,12,8,4,0.10165852899999805
84,12,8,5,0.08148705199999995
85,12,8,2,0.10723273299999647
86,12,12,5,0.12704133399999762
87,12,12,5,0.11978932000000242
88,12,12,5,0.10832387300000335
89,12,12,4,0.10984072699999814
90,12,12,2,0.09755400099999889
91,12,12,3,0.11622074000000282
92,12,12,3,0.10711776099999781
93,12,12,5,0.12336621599999376
94,12,12,6,0.11131832500000627
95,12,16,6,0.1496253720000027
96,12,16,5,0.1303663949999958
97,12,16,5,0.10083324899999724
98,12,16,3,0.12577882099999727
99,12,16,6,0.12493333300000131
100,12,16,4,0.12428740099999658
101,12,16,5,0.12487414499999971
102,12,16,4,0.12540543400000104
103,12,16,3,0.13550524899999772
104,12,16,1,0.12390475899999842
105,12,16,0,0.11453064799999879
106,12,20,5,0.08710398499999883
107,12,20,4,0.11592248399999505
108,12,20,6,0.08785499400000418
109,12,20,3,0.1227120969999973
110,12,20,3,0.11619460700000417
111,12,20,4,0.11868285999999983
112,12,20,6,0.13798621499999797
113,12,20,5,0.1265514469999971
114,12,20,1,0.12639974000000365
115,12,20,4,0.13095947000000052
116,12,20,0,0.13245643999999857
117,16,8,5,0.1370271119999984
118,16,8,5,0.18659339099999528
119,16,8,2,0.14136401300000045
120,16,8,6,0.23827680499999815
121,16,8,3,0.14715416199999964
122,16,8,5,0.16778066700000238
123,16,8,5,0.15165609399999624
124,16,8,4,0.15206384900000103
125,16,8,3,0.12841820100000234
126,16,12,5,0.16551742000000047
127,16,12,3,0.16547929500000436
128,16,12,4,0.1549055230000036
129,16,12,5,0.27139038699999674
130,16,12,2,0.15221988500000094
131,16,12,4,0.17070308899999986
132,16,12,5,0.1948370550000007
133,16,12,1,0.1470974540000043
134,16,12,3,0.14408305199999916
135,16,12,5,0.15973166999999933
136,16,16,5,0.11955167400000022
137,16,16,4,0.17136643799999973
138,16,16,5,0.17547801300000287
139,16,16,5,0.21922172800000084
140,16,16,4,0.15047376500000098
141,16,16,3,0.15913035599999859
142,16,16,4,0.15957862400000522
143,16,16,4,0.16482132399999472
144,16,16,4,0.15096168500000573
145,16,16,6,0.18115908799999403
146,16,16,0,0.17665439399999627
147,16,20,6,0.16782080100000485
