length,gamut,line
4,8,"[0, 4, 2, 0]"
4,8,"[0, 7, 2, 0]"
4,12,"[0, 4, 2, 0]"
4,12,"[0, 7, 2, 0]"
4,16,"[0, 4, 2, 0]"
4,16,"[0, 7, 2, 0]"
4,16,"[0, 12, 2, 0]"
4,20,"[0, 4, 2, 0]"
4,20,"[0, 7, 2, 0]"
4,20,"[0, 12, 2, 0]"
4,24,"[0, 4, 2, 0]"
4,24,"[0, 7, 2, 0]"
4,24,"[0, 12, 2, 0]"
4,28,"[0, 4, 2, 0]"
4,28,"[0, 7, 2, 0]"
4,28,"[0, 12, 2, 0]"
4,32,"[0, 4, 2, 0]"
4,32,"[0, 7, 2, 0]"
4,32,"[0, 12, 2, 0]"
8,8,"[0, 2, 2, 2, 4, 2, 2, 0]"
8,8,"[0, 2, 0, 0, 2, 4, 2, 0]"
8,8,"[0, 2, 2, 4, 2, 0, 2, 0]"
8,8,"[0, 2, 4, 2, 2, 0, 2, 0]"
8,8,"[0, 0, 2, 2, 4, 2, 2, 0]"
8,12,"[0, 2, 2, 4, 2, 2, 2, 0]"
8,12,"[0, 0, 0, 0, 2, 4, 2, 0]"
8,12,"[0, 2, 4, 2, 0, 2, 2, 0]"
8,12,"[0, 2, 0, 0, 2, 4, 2, 0]"
8,12,"[0, 0, 0, 2, 2, 4, 2, 0]"
8,16,"[0, 0, 2, 4, 2, 0, 2, 0]"
8,16,"[0, 2, 2, 0, 2, 4, 2, 0]"
8,16,"[0, 0, 2, 2, 2, 4, 2, 0]"
8,16,"[0, 2, 4, 2, 2, 2, 2, 0]"
8,16,"[0, 2, 4, 2, 2, 0, 2, 0]"
8,20,"[0, 2, 2, 0, 2, 4, 2, 0]"
8,20,"[0, 0, 0, 2, 4, 2, 2, 0]"
8,20,"[0, 2, 4, 2, 2, 2, 2, 0]"
8,20,"[0, 2, 4, 2, 0, 2, 2, 0]"
8,20,"[0, 0, 2, 4, 2, 2, 2, 0]"
8,24,"[0, 2, 4, 2, 2, 0, 2, 0]"
8,24,"[0, 0, 0, 2, 2, 4, 2, 0]"
8,24,"[0, 2, 2, 0, 2, 4, 2, 0]"
8,24,"[0, 2, 2, 4, 2, 0, 2, 0]"
8,24,"[0, 2, 4, 2, 2, 2, 2, 0]"
8,28,"[0, 2, 4, 2, 0, 0, 2, 0]"
8,28,"[0, 2, 2, 4, 2, 2, 2, 0]"
8,28,"[0, 2, 0, 2, 4, 2, 2, 0]"
8,28,"[0, 0, 0, 2, 2, 4, 2, 0]"
8,28,"[0, 0, 2, 4, 2, 0, 2, 0]"
8,32,"[0, 2, 2, 2, 4, 2, 2, 0]"
8,32,"[0, 0, 0, 2, 4, 2, 2, 0]"
8,32,"[0, 2, 4, 2, 2, 2, 2, 0]"
8,32,"[0, 0, 0, 0, 2, 4, 2, 0]"
8,32,"[0, 0, 2, 4, 2, 0, 2, 0]"
12,8,"[0, 0, 2, 4, 5, 7, 5, 4, 5, 4, 2, 0]"
12,8,"[0, 2, 0, 2, 4, 5, 7, 5, 4, 2, 2, 0]"
12,8,"[0, 2, 4, 2, 4, 4, 5, 7, 5, 4, 2, 0]"
12,8,"[0, 2, 4, 5, 7, 5, 4, 2, 2, 4, 2, 0]"
12,8,"[0, 2, 2, 0, 2, 4, 5, 7, 5, 4, 2, 0]"
12,12,"[0, 2, 0, 0, 2, 4, 5, 7, 5, 4, 2, 0]"
12,12,"[0, 2, 4, 5, 7, 5, 5, 4, 2, 0, 2, 0]"
12,12,"[0, 2, 4, 5, 7, 5, 4, 5, 4, 2, 2, 0]"
12,12,"[0, 2, 4, 5, 7, 5, 4, 2, 4, 2, 2, 0]"
12,12,"[0, 2, 4, 5, 7, 5, 4, 2, 0, 2, 2, 0]"
12,16,"[0, 2, 4, 4, 5, 4, 5, 7, 5, 4, 2, 0]"
12,16,"[0, 2, 2, 4, 5, 7, 5, 4, 2, 0, 2, 0]"
12,16,"[0, 2, 0, 2, 4, 5, 7, 5, 4, 2, 2, 0]"
12,16,"[0, 2, 0, 2, 4, 5, 7, 5, 5, 4, 2, 0]"
12,16,"[0, 2, 0, 0, 2, 4, 5, 7, 5, 4, 2, 0]"
12,20,"[0, 2, 4, 5, 5, 7, 5, 4, 5, 4, 2, 0]"
12,20,"[0, 2, 4, 5, 7, 5, 4, 2, 0, 2, 2, 0]"
12,20,"[0, 2, 4, 4, 2, 4, 5, 7, 5, 4, 2, 0]"
12,20,"[0, 2, 4, 5, 7, 5, 4, 5, 4, 2, 2, 0]"
12,20,"[0, 2, 4, 5, 7, 5, 4, 2, 0, 0, 2, 0]"
12,24,"[0, 2, 4, 4, 4, 4, 5, 7, 5, 4, 2, 0]"
12,24,"[0, 2, 0, 2, 4, 5, 5, 7, 5, 4, 2, 0]"
12,24,"[0, 2, 4, 5, 7, 5, 4, 2, 2, 4, 2, 0]"
12,24,"[0, 2, 4, 5, 5, 5, 7, 5, 4, 2, 2, 0]"
12,24,"[0, 2, 4, 5, 7, 5, 4, 2, 0, 2, 2, 0]"
12,28,"[0, 2, 4, 2, 2, 4, 5, 7, 5, 4, 2, 0]"
12,28,"[0, 2, 0, 2, 4, 5, 7, 5, 4, 2, 2, 0]"
12,28,"[0, 2, 2, 4, 5, 7, 5, 4, 2, 4, 2, 0]"
12,28,"[0, 2, 4, 5, 7, 5, 4, 2, 4, 2, 2, 0]"
12,28,"[0, 2, 4, 5, 7, 5, 4, 2, 0, 0, 2, 0]"
12,32,"[0, 2, 4, 2, 4, 5, 5, 7, 5, 4, 2, 0]"
12,32,"[0, 2, 2, 4, 5, 7, 5, 5, 5, 4, 2, 0]"
12,32,"[0, 2, 2, 4, 5, 4, 5, 7, 5, 4, 2, 0]"
12,32,"[0, 2, 4, 5, 5, 5, 7, 5, 4, 2, 2, 0]"
12,32,"[0, 2, 4, 5, 7, 5, 4, 4, 4, 4, 2, 0]"
16,8,"[0, 2, 0, 2, 4, 2, 4, 2, 4, 5, 7, 5, 4, 2, 2, 0]"
16,8,"[0, 2, 4, 5, 4, 4, 4, 5, 7, 5, 5, 4, 5, 4, 2, 0]"
16,8,"[0, 2, 0, 0, 2, 0, 2, 4, 2, 4, 5, 7, 5, 4, 2, 0]"
16,8,"[0, 2, 4, 5, 7, 5, 4, 4, 5, 4, 2, 4, 2, 4, 2, 0]"
16,8,"[0, 0, 0, 2, 4, 5, 7, 5, 4, 2, 0, 0, 2, 4, 2, 0]"
16,12,"[0, 2, 4, 4, 4, 5, 4, 4, 5, 7, 5, 4, 4, 2, 2, 0]"
16,12,"[0, 0, 0, 2, 0, 2, 2, 4, 5, 4, 5, 7, 5, 4, 2, 0]"
16,12,"[0, 0, 2, 4, 5, 7, 5, 5, 4, 2, 0, 2, 4, 4, 2, 0]"
16,12,"[0, 2, 0, 2, 2, 4, 5, 7, 5, 4, 2, 0, 0, 0, 2, 0]"
16,12,"[0, 2, 4, 4, 5, 5, 7, 5, 4, 5, 4, 4, 5, 4, 2, 0]"
16,16,"[0, 2, 4, 5, 7, 9, 11, 12, 11, 9, 7, 7, 5, 4, 2, 0]"
16,16,"[0, 2, 4, 5, 7, 9, 11, 11, 12, 11, 9, 7, 5, 4, 2, 0]"
16,16,"[0, 2, 4, 5, 7, 9, 9, 11, 12, 11, 9, 7, 5, 4, 2, 0]"
16,16,"[0, 0, 2, 4, 5, 7, 9, 11, 12, 11, 9, 7, 5, 4, 2, 0]"
16,16,"[0, 2, 4, 5, 7, 9, 11, 12, 11, 9, 7, 5, 4, 4, 2, 0]"
16,20,"[0, 0, 2, 4, 5, 7, 9, 11, 12, 11, 9, 7, 5, 4, 2, 0]"
16,20,"[0, 2, 4, 5, 7, 9, 11, 12, 11, 9, 7, 5, 4, 2, 2, 0]"
16,20,"[0, 2, 4, 5, 7, 9, 11, 12, 11, 9, 7, 5, 4, 4, 2, 0]"
16,20,"[0, 2, 4, 5, 7, 7, 9, 11, 12, 11, 9, 7, 5, 4, 2, 0]"
