length,gamut,iteration,times
4,16,1,0.15583200799999997
4,16,2,0.1586630630000001
4,16,3,0.16120520399999982
4,16,4,0.17609031500000016
4,16,5,0.15397705500000036
4,20,1,0.19456972800000027
4,20,2,0.19035206999999987
4,20,3,0.19483593499999996
4,20,4,0.1675967359999997
4,20,5,0.17273814300000012
4,24,1,0.16966853100000012
4,24,2,0.1711269470000003
4,24,3,0.17965806800000017
4,24,4,0.16284528700000056
4,24,5,0.18962630200000063
4,28,1,0.17645560500000013
4,28,2,0.18431676099999983
4,28,3,0.18035049299999972
4,28,4,0.1768772590000003
4,28,5,0.18602594499999991
4,32,1,0.19104302499999992
4,32,2,0.19106830899999938
4,32,3,0.26438264200000017
4,32,4,0.19960772800000015
4,32,5,0.18671439900000042
8,16,1,0.523499395
8,16,2,0.49978630400000057
8,16,3,0.45143808100000093
8,16,4,0.43252180100000004
8,16,5,0.44594491199999986
8,20,1,0.49055785800000073
8,20,2,0.49238131000000074
8,20,3,0.48443122299999963
8,20,4,0.47772777600000005
8,20,5,0.5531575590000006
8,24,1,0.5794616589999997
8,24,2,0.6088415789999999
8,24,3,0.590989317
8,24,4,0.6367137130000007
8,24,5,0.7214445380000001
8,28,1,0.7528113770000004
8,28,2,0.7314479630000008
8,28,3,0.5284263899999999
8,28,4,0.49697123999999704
8,28,5,0.6283450210000012
8,32,1,0.5300675519999984
8,32,2,0.5333457570000029
8,32,3,0.5495469270000015
8,32,4,0.545528277999999
8,32,5,0.582134228000001
12,16,1,1.0959294860000028
12,16,2,0.9807629650000003
12,16,3,1.0954002489999972
12,16,4,0.9172476379999992
12,16,5,0.9389073709999991
12,20,1,0.9644273210000023
12,20,2,1.074637924000001
12,20,3,0.9958106680000043
12,20,4,0.9130698580000001
12,20,5,0.9870985259999969
12,24,1,0.9987737410000008
12,24,2,0.9892267749999988
12,24,3,0.9869189899999995
12,24,4,0.9541421840000055
12,24,5,0.9856272079999968
12,28,1,0.9775502080000038
12,28,2,1.3498643579999978
12,28,3,1.098824110999999
12,28,4,1.0519847719999973
12,28,5,1.0115461460000006
12,32,1,1.0465570470000003
12,32,2,1.033568245000005
12,32,3,1.0058403190000007
12,32,4,1.1572206020000024
12,32,5,1.1766140630000024
16,16,1,1.7103315779999946
16,16,2,1.7365718810000033
16,16,3,1.6148169419999974
16,16,4,1.4033354769999988
16,16,5,1.5417603459999896
16,20,1,1.5283060579999983
16,20,2,1.6279789660000006
16,20,3,1.5211137059999942
16,20,4,1.789545547000003
16,20,5,1.5980165750000026
16,24,1,1.7192172029999995
16,24,2,1.4600867239999928
16,24,3,1.5823009270000057
16,24,4,1.7433054920000046
16,24,5,1.6321691750000014
16,28,1,1.6225400949999909
16,28,2,2.085790915000004
16,28,3,3.017476135999999
16,28,4,1.8533176010000005
16,28,5,1.7730443850000057
16,32,1,1.950769178999991
16,32,2,1.8501843880000024
16,32,3,1.7499180610000025
16,32,4,1.6351163819999925
16,32,5,1.6592651870000026
20,16,1,2.490949056000005
20,16,2,2.6172766199999984
20,16,3,2.589219294000003
20,16,4,2.380608492999997
20,16,5,2.5144715489999925
20,20,1,2.485090917000008
20,20,2,2.4779545869999993
20,20,3,2.585438898999996
20,20,4,2.5990640020000058
20,20,5,2.7286167830000068
20,24,1,2.534518227999996
20,24,2,2.7470651980000014
20,24,3,2.5347904990000245
20,24,4,2.384642011000011
20,24,5,2.325523607000008
20,28,1,2.5747064269999953
20,28,2,2.4986008529999992
20,28,3,2.5017840339999964
20,28,4,2.661856828999987
20,28,5,2.645023304999995
20,32,1,2.9713538940000035
