,length,gamut,mutations,time
0,8,8,5,0.876821235
1,8,8,1,0.14659695500000014
2,8,8,5,0.4321935509999997
3,8,8,0,0.171705534
4,8,12,1,0.17249290400000028
5,8,12,4,0.5322075340000003
6,8,12,4,0.8099133559999996
7,8,12,2,0.6790675940000002
8,8,12,4,0.7221606409999994
9,8,12,0,0.13523461199999964
10,8,16,4,0.6802541910000004
11,8,16,3,0.8957061920000005
12,8,16,4,0.8696415929999999
13,8,16,0,0.18316946300000048
14,12,8,3,2.6540381080000017
15,12,8,6,9.310599831000001
16,12,8,5,9.684790294999999
17,12,8,3,8.689187949999997
18,12,8,0,0.1910408330000024
19,12,12,4,3.494473739
20,12,12,4,0.7238333780000019
21,12,12,5,9.736557464
22,12,12,4,7.5237563519999995
23,12,12,0,0.19554235400000408
24,12,16,2,0.5527280889999986
25,12,16,5,9.980212113000007
26,12,16,3,1.983562672000005
27,12,16,0,0.216047850999999
28,16,8,2,2.6302677150000022
29,16,8,2,0.4810185919999981
30,16,8,1,0.4373553890000039
31,16,8,2,3.323692614999999
32,16,8,0,0.25399832200000105
33,16,12,3,2.698278234
34,16,12,3,7.860232644000007
35,16,12,0,0.26097853400000304
36,16,16,2,0.8177083510000216
37,16,16,0,0.2622023440000021
