,length,gamut,mutations,time
0,8,12,1,0.22380691899999983
1,8,12,6,0.47118687299999973
2,8,12,3,1.432267769
3,8,12,4,0.40941294299999953
4,8,12,4,0.48845852499999953
5,8,12,0,0.17519507
6,8,16,6,1.216103329000001
7,8,16,4,0.541531041999999
8,8,16,5,0.5816120949999988
9,8,16,5,0.8028468909999997
10,8,16,4,0.4146025069999997
11,8,16,0,0.18912039800000002
12,12,12,5,5.055995635000002
13,12,12,4,9.194048354000003
14,12,12,5,8.234526175
15,12,12,0,0.26684118699999715
16,12,16,3,1.1524767319999967
17,12,16,2,0.4935001190000037
18,12,16,0,0.289910811999988
19,16,16,3,0.9547313129999679
20,16,16,5,1.423622134000027
21,16,16,0,0.39160126699999864
